,val,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,iteration
0,0.0002297211970449,1.0,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,1.0,0.0,10.0,0.0
3,0.0021582689643107,1.0,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,9.574487342581108,0.0,10.0,3.0
6,0.0027845710495466,1.0,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,10.0,0.0,10.0,6.0
18,0.9817810109720762,-0.083529085935424,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,10.0,0.0,10.0,18.0
19,1.3032492719873137,-0.083529085935424,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,9.602112642270262,10.0,0.1228828631922707,10.0,19.0
20,1.5044959603963624,-0.083529085935424,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,10.0,10.0,0.1228828631922707,10.0,20.0
51,1.910516950614612,-0.083529085935424,1.0,0.1291845091439806,0.0,1.5915494309189535,-6.0,10.0,10.0,0.1228828631922707,29.2298125549625,51.0
308,1.9756835579091607,-0.083529085935424,1.0,0.1142928193119378,0.0,1.5915494309189535,-6.0,10.0,10.0,0.1228828631922707,29.2298125549625,308.0
309,2.4360215792904207,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.5915494309189535,-6.0,10.0,10.0,0.1228828631922707,29.2298125549625,309.0
327,2.48866861042627,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.5915494309189535,-6.0,10.0,10.0,0.1228828631922707,100.0,327.0
348,3.1766931912507483,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.2605244361322518,-6.0,10.0,10.0,0.1228828631922707,100.0,348.0
436,3.235278166817292,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.2605244361322518,-6.0,10.0,10.0,0.1228828631922707,100.0,436.0
476,3.422856912184696,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.2605244361322518,-6.0,10.0,10.0,0.1228828631922707,100.0,476.0
526,3.458404379895068,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.2605244361322518,-6.0,10.0,10.0,0.1228828631922707,100.0,526.0
869,3.496809232014143,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.2605244361322518,-6.0,10.0,8.916369686451846,0.1228828631922707,100.0,869.0
1052,3.5562290093882813,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.2605244361322518,-6.0,10.0,8.916369686451846,0.1228828631922707,100.0,1052.0
1174,3.960560662560904,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.2605244361322518,-6.0,10.0,8.916369686451846,0.1228828631922707,100.0,1174.0
1360,4.12532988836115,-0.083529085935424,1.0,0.1142928193119378,1.0494805707143071,1.2605244361322518,-6.0,10.0,8.916369686451846,0.1228828631922707,70.4948161373037,1360.0
