,val,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,iteration
0,0.0003077051972,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,3.333333333333333,0.0,0.0
10,0.0003508685164036,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,3.9336103230924255,0.0,10.0
11,0.0003874654786645,1.0,1.0,1.0,-7.792928525946506,1.0,0.3333333333333333,0.3333333333333333,3.9336103230924255,0.0,11.0
15,0.0004042221601121,1.0,1.0,1.0,-7.792928525946506,1.0,0.922902564407816,0.3333333333333333,3.9336103230924255,0.0,15.0
20,0.0004137738597893,1.0,1.0,1.0,-7.792928525946506,1.0,0.922902564407816,0.3333333333333333,3.9336103230924255,-1.9061730635833785,20.0
25,0.0004888802934222,1.0,1.0,1.0,-5.785497894702676,1.0,0.922902564407816,0.3333333333333333,3.9336103230924255,-1.9061730635833785,25.0
38,0.0006857575234376,1.0,1.0,1.0,-5.785497894702676,1.0,0.922902564407816,0.8300012596077859,3.9336103230924255,-1.9061730635833785,38.0
44,0.0007294713371049,1.0,1.0,1.0,-5.785497894702676,1.0,0.922902564407816,0.5348586222472509,3.9336103230924255,-1.9061730635833785,44.0
54,0.0007759927628662,1.0,1.0,1.0,-5.785497894702676,1.0,0.922902564407816,0.5348586222472509,3.9336103230924255,7.677637025815689,54.0
71,0.0007870683326427,1.0,1.0,1.0,-5.785497894702676,1.0,0.922902564407816,0.5348586222472509,3.9336103230924255,10.0,71.0
143,0.0007965247712551,1.0,1.0,1.0,-5.785497894702676,1.0,1.0,0.5348586222472509,3.9336103230924255,10.0,143.0
146,0.0008847145449184,1.0,1.0,1.0,-5.785497894702676,1.0,1.0,0.5348586222472509,3.9336103230924255,10.0,146.0
181,0.0009388736075707,1.0,1.0,1.0,-5.785497894702676,1.0,1.0,0.5348586222472509,3.9336103230924255,10.0,181.0
216,0.0012460580172965,1.0,1.0,1.0,-5.785497894702676,1.0,1.0,0.5348586222472509,-2.964019261143866,10.0,216.0
558,0.0013141673697573,1.0,1.0,1.0,-5.785497894702676,1.0,1.0,0.5348586222472509,0.2277430258672224,10.0,558.0
562,0.0339483029693302,1.0,1.0,1.0,-5.785497894702676,-5.336339631737429,1.0,0.5348586222472509,0.2277430258672224,10.0,562.0
573,0.116084611894871,1.0,1.0,1.0,-5.785497894702676,-5.336339631737429,1.0,0.5348586222472509,0.7997120673118157,10.0,573.0
581,0.1359056489233495,1.0,1.0,1.0,-5.785497894702676,-10.0,1.0,0.5348586222472509,0.7997120673118157,10.0,581.0
603,0.1386134272727555,1.0,1.0,1.0,-5.785497894702676,-10.0,1.0,0.5348586222472509,0.7997120673118157,5.282723520035075,603.0
605,0.213073711071343,1.0,1.0,1.0,-2.766085723796728,-10.0,1.0,0.5348586222472509,0.7997120673118157,5.282723520035075,605.0
621,0.2447434984242308,1.0,1.0,1.0,-2.766085723796728,-10.0,1.0,-0.3844371497447616,0.7997120673118157,5.282723520035075,621.0
625,0.4097080163862047,-1.1324707439683,1.0,1.0,-2.766085723796728,-10.0,1.0,-0.3844371497447616,0.7997120673118157,5.282723520035075,625.0
647,0.4648064516982582,-1.1324707439683,1.0,1.0,-2.766085723796728,-4.5057975250178295,1.0,-0.3844371497447616,0.7997120673118157,5.282723520035075,647.0
695,0.5405832674558647,-1.1324707439683,1.0,1.0,-2.766085723796728,-4.5057975250178295,1.0,-0.312471197683013,0.7997120673118157,5.282723520035075,695.0
725,0.659884909385611,-1.1324707439683,1.0,1.0,-2.766085723796728,-4.5057975250178295,1.0,-0.312471197683013,0.7997120673118157,3.479153069105083,725.0
1360,0.7516616040512916,-1.1324707439683,1.0,1.0,-2.766085723796728,-4.5057975250178295,1.0,-0.312471197683013,0.7997120673118157,9.644010602706294,1360.0
1452,0.7972114136202577,-1.1324707439683,1.0,1.0,-2.766085723796728,-4.5057975250178295,1.0,-0.913394837773237,0.7997120673118157,9.644010602706294,1452.0
1514,0.8095294248442693,-1.1324707439683,1.0,0.4761117051670851,-2.766085723796728,-4.5057975250178295,1.0,-0.913394837773237,0.7997120673118157,9.644010602706294,1514.0
1558,0.8755513033837861,-1.1324707439683,1.0,0.4761117051670851,-4.035976044231246,-4.5057975250178295,1.0,-0.913394837773237,0.7997120673118157,9.644010602706294,1558.0
