,val,time,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,iteration
0,6.83605664739725,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,0.0,0.0
1,13.581424980417063,1.039660923000156,1.0,1.0,0.0,1.0,6.965358446559453,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,0.0,1.0
2,19.29490053276326,1.424756302999867,1.0,1.0,0.0,1.0,5.153858204748163,1.0,-3.141592653589793,1.0,-3.141592653589793,0.0,0.0,2.0
3,20.407904032359745,1.1803713829999651,1.0,1.0,0.0,1.0,5.153858204748163,1.0919723620369717,-3.141592653589793,1.0,-3.141592653589793,0.0,0.0,3.0
6,58.04855063544777,0.92190133899976,1.0,1.0,0.0,1.0,5.153858204748163,1.0919723620369717,-3.141592653589793,1.0,-3.141592653589793,0.0,-3.8410569801302974,6.0
7,66.29890692141903,0.9327841360000092,1.0,1.0,0.0,1.0,5.153858204748163,1.0919723620369717,-3.141592653589793,3.0621137964558445,-3.141592653589793,0.0,-3.8410569801302974,7.0
8,72.85826478572595,0.951289050000014,1.0,1.0,0.0,1.0,5.153858204748163,1.0919723620369717,-3.141592653589793,3.0621137964558445,-3.141592653589793,0.0,-3.019793783767684,8.0
17,76.19695768965168,0.9313395110002602,1.0,1.0,0.0,1.0,7.006368773904206,1.0919723620369717,-3.141592653589793,3.0621137964558445,-3.141592653589793,0.0,-3.019793783767684,17.0
19,82.38786463241958,0.949449249999816,1.0,1.0,0.0,1.0,7.006368773904206,1.0919723620369717,-3.141592653589793,6.407661852782817,-3.141592653589793,0.0,-3.019793783767684,19.0
21,91.29068838298484,0.929717372000141,1.0,1.0,0.0,1.0,7.006368773904206,1.0919723620369717,-3.141592653589793,10.0,-3.141592653589793,0.0,-3.019793783767684,21.0
23,92.20667996869452,0.958401953000248,1.0,1.0,0.0,1.0,7.006368773904206,1.0919723620369717,-3.141592653589793,10.0,-0.0414779430632683,0.0,-3.019793783767684,23.0
24,98.89053629474034,0.9601265159999456,1.0,1.0,0.0,1.0,7.006368773904206,8.560923043763367,-3.141592653589793,10.0,-0.0414779430632683,0.0,-3.019793783767684,24.0
239,99.06807136241883,0.9523462259999178,1.0,1.0,0.0,1.0,7.006368773904206,8.560923043763367,-3.141592653589793,10.0,-0.0414779430632683,0.0,-4.285996649061192,239.0
684,99.13283862183415,0.9460865000000922,1.0,1.0,0.0,1.0,7.006368773904206,8.560923043763367,-3.141592653589793,10.0,-0.0414779430632683,0.0,2.151158585590262,684.0
1947,99.33629238617536,0.9496154800003752,1.0,1.0,0.0,1.0,7.006368773904206,8.560923043763367,-2.480516361934177,10.0,-0.0414779430632683,0.0,2.151158585590262,1947.0
1980,99.51262881249504,0.9458560549996946,1.0,1.0,0.0,1.0,7.006368773904206,9.971689111266382,-2.480516361934177,10.0,-0.0414779430632683,0.0,2.151158585590262,1980.0
