,val,time,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,iteration
0,5.314777612133577e-06,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,18.0,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0,0.0
1,1.3118637063174404e-05,1.8800139659997512,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,30.0,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0,1.0
13,1.6876657352547282e-05,1.4760917350004092,1.0,1.0,1.0,1.0,1.0,1.0,19.0,14.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0,13.0
20,0.0062645480412026,1.3787994790000084,1.0,1.0,1.0,1.0,1.0,1.0,19.0,100.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0,20.0
23,0.0441838214246124,1.408622875999754,1.0,1.0,5.192583775450034,1.0,1.0,1.0,19.0,100.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,12.0,0.0,36.0,0.0,23.0
50,0.2160894471354133,1.1703347000002395,1.0,1.0,5.192583775450034,1.0,1.0,1.0,19.0,100.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,47.05051100785026,0.0,36.0,0.0,50.0
67,0.2566218531923485,0.9569315859998824,1.0,1.0,5.192583775450034,1.0,1.0,1.0,-39.86003050008605,100.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,47.05051100785026,0.0,36.0,0.0,67.0
73,0.5239031036078547,0.8976953270002923,1.0,5.2736631002524295,5.192583775450034,1.0,1.0,1.0,-39.86003050008605,100.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,2.0,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,47.05051100785026,0.0,36.0,0.0,73.0
75,0.5827703892373659,0.8122636999996757,1.0,5.2736631002524295,5.192583775450034,1.0,1.0,1.0,-39.86003050008605,100.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,1.1899819516481052,3.0,0.0,25.38086857823239,32.0,48.0,27.0,0.0,47.05051100785026,0.0,36.0,0.0,75.0
94,0.6772861846588569,0.8459395999998378,1.0,5.2736631002524295,5.192583775450034,1.0,1.0,1.0,-39.86003050008605,100.0,14.0,3.0,0.0,3.0,0.0,6.0,39.62184995050399,1.0,1.1899819516481052,3.0,0.6891957281477334,25.38086857823239,32.0,48.0,27.0,0.0,47.05051100785026,0.0,36.0,0.0,94.0
