,val,time,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,iteration
0,0.4556993667260766,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0,0.0
1,1.0441103517044543,1.1235890940006357,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0,1.0
2,1.0620868765991898,1.252865604001272,1.0,1.0,1.0,1.0,-4.8838254999040505,1.0,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0,2.0
5,1.7263719428518918,0.8945294869990903,1.0,1.0,1.0,1.0,-8.014122558391938,1.0,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0,5.0
6,2.3749289497261468,0.8736984970000776,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,0.0,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0,6.0
9,2.8104852849788644,0.8726829749994067,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0,0.0,9.0
10,2.9025982604545244,0.8394399469998461,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,0.0,10.0
12,3.276037841471541,0.8981933539998863,1.0,1.0,1.0,1.0,-8.014122558391938,8.174716014364053,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.6858659401455913,12.0
13,3.700133520036878,0.968129716000476,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.6858659401455913,13.0
17,5.294764994241994,0.8808481819996814,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-0.50590511599935,17.0
22,5.665212277360917,1.088612601000932,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.0,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.981150445116255,22.0
36,5.7158163769237404,0.7905353530004504,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,3.5362728517744912,0.0,0.01,1.0,1.0293269329961898,-5.981150445116255,36.0
60,5.986163250483228,0.9199362950002978,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,9.889336994007614,0.0,0.01,1.0,1.0293269329961898,-5.981150445116255,60.0
106,6.531255924461826,0.8805018969997036,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,-1.7159333849251723,6.926723890663832,0.0,0.01,1.0,1.0293269329961898,-5.981150445116255,106.0
157,6.581303249505327,1.1284737370006042,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.3403895833519654,6.926723890663832,0.0,0.01,1.0,1.0293269329961898,-5.981150445116255,157.0
168,7.151500515016476,0.9382838210003684,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.3403895833519654,6.926723890663832,0.0,0.01,1.0,1.0293269329961898,-10.0,168.0
170,7.338079717895033,0.9372379840006032,1.0,1.0,1.0,1.0,-8.014122558391938,9.483003624114016,-8.152781060782688,0.3403895833519654,6.926723890663832,0.0,0.01,1.0,1.245751848587743,-10.0,170.0
202,7.698909396313241,0.9862715979998028,1.0,1.0,1.0,0.7023267622178055,-8.014122558391938,9.483003624114016,-8.152781060782688,0.3403895833519654,6.926723890663832,0.0,0.01,1.0,1.245751848587743,-10.0,202.0
235,7.90458169422442,0.9265831560005608,1.0,1.0,1.0,0.7023267622178055,-8.014122558391938,9.483003624114016,-8.152781060782688,0.4778172150599702,6.926723890663832,0.0,0.01,1.0,1.245751848587743,-10.0,235.0
307,8.03842350045325,1.0668924009987677,1.0,1.0,1.0,0.7023267622178055,-8.014122558391938,9.483003624114016,-8.152781060782688,0.4778172150599702,6.926723890663832,0.0,0.01,1.0,1.245751848587743,-10.0,307.0
349,8.143327997959902,1.1897021439999662,1.0,1.0,1.0,0.7023267622178055,-8.014122558391938,9.483003624114016,-8.152781060782688,0.4778172150599702,6.926723890663832,0.0,0.01,1.0,1.245751848587743,-10.0,349.0
476,8.296760188722608,0.9662001630003942,1.0,1.0,1.0,0.7023267622178055,-8.014122558391938,9.483003624114016,-8.152781060782688,0.4778172150599702,6.926723890663832,0.0,0.01,1.0,1.245751848587743,-7.9011382023414045,476.0
1126,8.354678378777566,0.8809274190007272,1.0,1.0,1.0,0.7023267622178055,-7.913569578139953,9.483003624114016,-8.152781060782688,0.4778172150599702,6.926723890663832,0.0,0.01,1.0,1.245751848587743,-7.9011382023414045,1126.0
